ranking,score_final,roe_score,growth_2006_score,growth_2017_score,ev_ebit_score,symbol,companyName,exchange,sector,industry,returnOnEquityTTM,returnOnEquityTTM_win,returnOnEquityTTM_original,ev_ebit,ev_ebit_win,ev_ebit_original,returnOnInvestedCapitalTTM,revenue_per_share_cagr_2006_ltm,revenue_per_share_cagr_2017_ltm,operating_income_per_share_cagr_2006_ltm,operating_income_per_share_cagr_2017_ltm,revenue_per_share_2006,revenue_per_share_2017,revenue_per_share_ltm,operating_income_per_share_2006,operating_income_per_share_2017,operating_income_per_share_ltm,revenue_2006,revenue_2017,revenue_ltm,operatingIncome_2006,operatingIncome_2017,operatingIncome_ltm,shares_2006,shares_2017,shares_ltm,marketCapTTM,enterpriseValueTTM,ebit_ltm,current_price,trading_currency,fair_value_min,fair_value_max,g_min,g_max,reported_currency
5,0.9294829714636984,1.0,1.0,1.0,0.7884489143910957,CROX,"Crocs, Inc.",NASDAQ,Consumer Cyclical,Apparel - Footwear & Accessories,0.519339331595147,0.4897800944419725,0.519339331595147,1.5303101415446652,1.5303101415446652,1.5303101415446652,0.23001270278615,0.1897627824402499,0.2087381073576482,0.188662759903692,0.7039115893216237,2.377584505833905,14.165289599335686,64.54805656012772,0.6390619637954701,0.2399280326620995,17.047372365034374,354728000.0,1023513000.0,3962347000.0,95346000.0,17336000.0,1046470000.0,149196800.0,72255000.0,61386000.0,5520801000.0,1587885000.0,1037623000.0,93.5,USD,78.98301005307864,152.19789949497124,0.02063902526442163,0.0917565896814245,USD
12,0.9036187252925296,0.7590318718920603,1.0,1.0,0.9518243039855284,APO-PA,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,0.3774266948537124,0.3774266948537124,0.3774266948537124,-1.605293979854767,-1.605293979854767,-1.605293979854767,-0.0454542901931066,0.1560510213939785,0.1932446892356925,0.2889931855667744,0.2354365967427614,3.573256591783352,13.6707126797664,56.18588640275387,0.3922971239172446,8.991108408830689,48.795180722891565,346480000.0,2610173000.0,32644000000.0,38039000.0,1716688000.0,28350000000.0,96964769.0,190931743.0,581000000.0,95683630000.0,-6853000000.0,4269000000.0,85.89,USD,66.2299130992919,100.66532923570865,0.009218837091833049,0.06017174239904263,USD
13,0.9036187252925296,0.7590318718920603,1.0,1.0,0.9518243039855284,APO-PB,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,0.3774266948537124,0.3774266948537124,0.3774266948537124,-1.605293979854767,-1.605293979854767,-1.605293979854767,-0.0454542901931066,0.1560510213939785,0.1932446892356925,0.2889931855667744,0.2354365967427614,3.573256591783352,13.6707126797664,56.18588640275387,0.3922971239172446,8.991108408830689,48.795180722891565,346480000.0,2610173000.0,32644000000.0,38039000.0,1716688000.0,28350000000.0,96964769.0,190931743.0,581000000.0,95683630000.0,-6853000000.0,4269000000.0,26.63,USD,66.2299130992919,100.66532923570865,0.009218837091833049,0.06017174239904263,USD
15,0.9036187252925296,0.7590318718920603,1.0,1.0,0.9518243039855284,AAM-PB,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,0.3774266948537124,0.3774266948537124,0.3774266948537124,-1.605293979854767,-1.605293979854767,-1.605293979854767,-0.0454542901931066,0.1560510213939785,0.1932446892356925,0.2889931855667744,0.2354365967427614,3.573256591783352,13.6707126797664,56.18588640275387,0.3922971239172446,8.991108408830689,48.795180722891565,346480000.0,2610173000.0,32644000000.0,38039000.0,1716688000.0,28350000000.0,96964769.0,190931743.0,581000000.0,95683630000.0,-6853000000.0,4269000000.0,25.04,USD,66.2299130992919,100.66532923570865,0.009218837091833049,0.06017174239904263,USD
14,0.9036187252925296,0.7590318718920603,1.0,1.0,0.9518243039855284,AAM-PA,"Apollo Global Management, Inc.",NYSE,Financial Services,Asset Management - Global,0.3774266948537124,0.3774266948537124,0.3774266948537124,-1.605293979854767,-1.605293979854767,-1.605293979854767,-0.0454542901931066,0.1560510213939785,0.1932446892356925,0.2889931855667744,0.2354365967427614,3.573256591783352,13.6707126797664,56.18588640275387,0.3922971239172446,8.991108408830689,48.795180722891565,346480000.0,2610173000.0,32644000000.0,38039000.0,1716688000.0,28350000000.0,96964769.0,190931743.0,581000000.0,95683630000.0,-6853000000.0,4269000000.0,25.04,USD,66.2299130992919,100.66532923570865,0.009218837091833049,0.06017174239904263,USD
19,0.8981935496458612,0.8341967491262307,1.0,1.0,0.8603838998113533,LULU,Lululemon Athletica Inc.,NASDAQ,Consumer Cyclical,Apparel - Retail,0.4124729457965357,0.4124729457965357,0.4124729457965357,0.1496882662640441,0.1496882662640441,0.1496882662640441,0.2924589562327406,0.2600538325624895,0.2047722421540372,0.371512584290764,0.2368774561624804,0.9394720331358808,17.10161504457056,75.90611239998105,0.0416162568359527,3.0721736720015174,16.829032716253966,84129093.0,2344392000.0,9619278000.0,3726708.0,421152000.0,2132676000.0,89549332.0,137086000.0,126726000.0,48845675700.0,325682000.0,2175735000.0,398.1,USD,162.6725472649202,486.28795287519387,0.10572244335511956,0.16270018496927074,USD
18,0.898473747947545,1.0,0.9078936457398512,0.6664616282851272,0.963772970844732,EW,Edwards Lifesciences Corporation,NYSE,Healthcare,Medical - Devices,0.5409792884110709,0.4897800944419725,0.5409792884110709,-1.834620374374498,-1.834620374374498,-1.834620374374498,0.1292160453811109,0.10529459881164,0.0779403144906827,0.130298366522765,0.0575262510101119,1.4772079772079771,5.429587482219061,9.89747816054063,0.2467236467236467,1.6164058795637744,2.528597329817043,1037000000.0,3435300000.0,6004800000.0,173200000.0,1022700000.0,1534100000.0,702000000.0,632700000.0,606700000.0,41953300000.0,-2969700000.0,1618700000.0,70.25,USD,104.75063548081631,207.93903777302586,0.12543690020072995,0.15787151403857785,USD
23,0.8859880026561368,1.0,0.460862406097652,0.9940727164310824,0.8078580753273544,ULTA,"Ulta Beauty, Inc.",NASDAQ,Consumer Cyclical,Specialty Retail,0.5194710302422753,0.4897800944419725,0.5194710302422753,1.1577972118083262,1.1577972118083262,1.1577972118083262,0.2576211226894739,0.0252861466084224,0.143689566716278,0.0852923574061619,0.1587122348988985,141.43674773761043,77.65218573553639,227.3102182378712,7.186694064553727,10.473999904029174,34.03433798474769,579075000.0,4854737000.0,11207303000.0,29424000.0,654824000.0,1678029000.0,4094233.0,62519000.0,49304000.0,17588145120.0,1963220000.0,1695651000.0,374.79,USD,170.17966404149396,531.9938316122897,0.04565257627071234,0.1393250723886588,USD
26,0.882449382536209,1.0,0.3365800189115696,0.7622897842500045,1.0,MSB,Mesabi Trust,NYSE,Basic Materials,Steel,2.310881425552749,0.4897800944419725,2.310881425552749,-5.052333741551011,-2.529912500118179,-5.052333741551011,0.8564382425284051,0.0030424183114061,0.0971723546285958,-0.0043994491421722,0.0864572123936673,1.6448030908513027,0.8298159071525097,1.7425313700218217,1.5804010057919162,0.7486584232786407,1.4533985873486377,21579833.0,10887193.0,22862029.0,20734877.0,9822406.0,19068604.0,13120010.0,13120010.0,13120010.0,323014646.2,-95910149.0,18983336.0,24.62,USD,37.21109878552316,59.02972223807329,0.009774061906533432,0.06519940415730227,USD
25,0.8837943048817865,1.0,0.4194068318115456,1.0,0.8081430700562426,ROCC,Ranger Oil Corporation,NASDAQ,Energy,Oil & Gas Exploration & Production,1.1498952262012474,0.4897800944419725,1.1498952262012474,1.15232741217267,1.15232741217267,1.15232741217267,0.6148972171919107,0.0178665391186156,0.2316027310073514,0.0707423486401033,0.3281487855869089,40.358064343450565,10.673112830088025,56.50101460034645,9.12863337080456,3.4549879967991464,33.45186834941846,753929000.0,160054000.0,1141603000.0,170532000.0,51811000.0,675895000.0,18681000.0,14996000.0,20205000.0,757081350.0,596485000.0,517635000.0,37.47,USD,187.08664378498256,322.1335966705009,0.03250293342452995,0.08962826007284157,USD
